gene,Uniprot entry,Protein.names,Aliases,localization,cells,cells.1,cells.2,cells.3,cells.4,cells.5,cells.6,cells.7,cells.8,cells.9,cells.10,cells.11,cells.12,cells.13,cells.14,cells.15,cells.16
CEACAM1,P13688,Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (CD antigen CD66a),CEACAM1 BGP BGP1 CD66A,extracellular,neutrophil,epithelial,,,,,,,,,,,,,,,
CEACAM3,P40198,Carcinoembryonic antigen-related cell adhesion molecule 3 (Carcinoembryonic antigen CGM1) (CD antigen CD66d),CEACAM3 CD66D CGM1 CD66D,extracellular,neutrophil,,,,,,,,,,,,,,,,
CEACAM6,P40199,Carcinoembryonic antigen-related cell adhesion molecule 6 (Non-specific crossreacting antigen) (Normal cross-reacting antigen) (CD antigen CD66c),CEACAM6 NCA CD66C,extracellular,neutrophil,,,,,,,,,,,,,,,,
CEACAM8,P31997,Carcinoembryonic antigen-related cell adhesion molecule 8 (CD67 antigen) (Carcinoembryonic antigen CGM6) (Non-specific cross-reacting antigen NCA-95) (CD antigen CD66b),CEACAM8 CGM6 CD66B,extracellular,eosinophil,neutrophil,PMN MDSC,neutrophil,,,,,,,,,,,,,
CEBPB,P17676,CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5),CEBPB TCF5 PP9092 C/EBP?,intracellular,basophil,,,,,,,,,,,,,,,,
CLEC10A,Q8IUN9,C-type lectin domain family 10 member A (C-type lectin superfamily member 14) (Macrophage lectin 2) (CD antigen CD301),CLEC10A CLECSF13 CLECSF14 HML CD301,extracellular,M2a,m2a microglia,,,,,,,,,,,,,,,
CLEC4C,Q8WTT0,C-type lectin domain family 4 member C (Blood dendritic cell antigen 2) (BDCA-2) (C-type lectin superfamily member 7) (Dendritic lectin) (CD antigen CD303),CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150 DLEC,extracellular,pDC,,,,,,,,,,,,,,,,
CLEC4C,Q8WTT0,C-type lectin domain family 4 member C (Blood dendritic cell antigen 2) (BDCA-2) (C-type lectin superfamily member 7) (Dendritic lectin) (CD antigen CD303),CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150 CD303,extracellular,pDC,,,,,,,,,,,,,,,,
CLEC7A,Q9BXN2,C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1) (CD antigen CD369),CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082 CD369,extracellular,classical DC,M1,tissue associated Mac,,,,,,,,,,,,,,
CLEC9A,Q6UXN8,C-type lectin domain family 9 member A (CD antigen CD370),CLEC9A UNQ9341/PRO34046 CD370,extracellular,pDC,classical DC,,,,,,,,,,,,,,,
CR1,P17927,Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35),CR1 C3BR CD35,extracellular,mast cell,neutrophil,eosinophil,,,,,,,,,,,,,,
CR2,P20023,Complement receptor type 2 (Cr2) (Complement C3d receptor) (Epstein-Barr virus receptor) (EBV receptor) (CD antigen CD21),CR2 C3DR CD21 ,extracellular,follicular B,Marginal Zone B,memory B,regulatory B,,,,,,,,,,,,,
CRLF2,Q9HC73,Cytokine receptor-like factor 2 (Cytokine receptor-like 2) (IL-XR) (Thymic stromal lymphopoietin protein receptor) (TSLP receptor),CRLF2 CRL2 ILXR TSLPR TSLPR,extracellular,Th2,ILC2,,,,,,,,,,,,,,,
CSF1R,P07333,Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115),CSF1R FMS CD115,extracellular,macrophage,classical monocyte,intermediate monocyte,nonclassical monocyte,M2,tissue associated Mac,macrophage pan,,,,,,,,,,
CSF2,P04141,Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim),CSF2 GMCSF GMCSF,secreted,M2b,m2b microglia,Th17,yd T ,,,,,,,,,,,,,
CSF2RA,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116),CSF2RA CSF2R CSF2RY CD116,extracellular,mast cell,neutrophil,eosinophil,,,,,,,,,,,,,,
CSF2RB,P32927,Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131),CSF2RB IL3RB IL5RB CD131,extracellular,CMP,,,,,,,,,,,,,,,,
CSF3,P09919,Granulocyte colony-stimulating factor (G-CSF) (Pluripoietin) (Filgrastim) (Lenograstim),CSF3 C17orf33 GCSF GCSF,secreted,M2b,m2b microglia,,,,,,,,,,,,,,,
CSF3R,Q99062,Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114),CSF3R GCSFR CD114,extracellular,neutrophil,,,,,,,,,,,,,,,,
CTLA4,P16410,Cytotoxic T-lymphocyte protein 4 (Cytotoxic T-lymphocyte-associated antigen 4) (CTLA-4) (CD antigen CD152),CTLA4 CD152 CD152,extracellular,Treg,,,,,,,,,,,,,,,,
CTSS,P25774,Cathepsin S (EC 3.4.22.27),CTSS CATHEPSINS,secreted,mast cell,,,,,,,,,,,,,,,,
CXCL8,P10145,Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)],CXCL8 IL8 IL8,secreted,classical DC,,,,,,,,,,,,,,,,
DDR1,Q08345,Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a),DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE CD167A,extracellular,epithelial,,,,,,,,,,,,,,,,
DNTT,P04053,DNA nucleotidylexotransferase (EC 2.7.7.31) (Terminal addition enzyme) (Terminal deoxynucleotidyltransferase) (Terminal transferase),DNTT TDT TDT,intracellular,HSC,CLP,,,,,,,,,,,,,,,
ELANE,P08246,Neutrophil elastase (EC 3.4.21.37) (Bone marrow serine protease) (Elastase-2) (Human leukocyte elastase) (HLE) (Medullasin) (PMN elastase),ELANE ELA2 ELASTASE,secreted,neutrophil,,,,,,,,,,,,,,,,
ENG,P17813,Endoglin (CD antigen CD105),ENG END CD105,extracellular,endothelial cells,macrophage pan,,,,,,,,,,,,,,,
ENPP3,O14638,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (NPP3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)],ENPP3 PDNP3 CD203C,extracellular,mast cell,basophil,,,,,,,,,,,,,,,
ENTPD1,P49961,Ectonucleoside triphosphate diphosphohydrolase 1 (NTPDase 1) (EC 3.6.1.5) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (CD antigen CD39),ENTPD1 CD39 CD39,extracellular,Treg,,,,,,,,,,,,,,,,
EPCAM,P16422,Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326),EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1 CD326,extracellular,epithelial,,,,,,,,,,,,,,,,
EPCAM,P16422,Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326),EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1 TROP1,extracellular,classical DC,,,,,,,,,,,,,,,,
FAS,P25445,Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95),FAS APT1 FAS1 TNFRSF6 CD95,extracellular,memory B,,,,,,,,,,,,,,,,
FCAR,P24071,Immunoglobulin alpha Fc receptor (IgA Fc receptor) (CD antigen CD89),FCAR CD89 CD89,extracellular,neutrophil,,,,,,,,,,,,,,,,
FCER2,P06734,Low affinity immunoglobulin epsilon Fc receptor (BLAST-2) (C-type lectin domain family 4 member J) (Fc-epsilon-RII) (Immunoglobulin E-binding factor) (Lymphocyte IgE receptor) (CD antigen CD23) [Cleaved into: Low affinity immunoglobulin epsilon Fc receptor membrane-bound form; Low affinity immunoglobulin epsilon Fc receptor soluble form],FCER2 CD23A CLEC4J FCE2 IGEBF CD23,extracellular,follicular B,Marginal Zone B,memory B,platelet,,,,,,,,,,,,,
FCGR1A,P12314,High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64),FCGR1A FCG1 FCGR1 IGFR1 CD64,extracellular,inflammatory DC,macrophage,m2b microglia,mast cell,eosinophil,M1,,,,,,,,,,,
FCGR2A,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a (IgG Fc receptor II-a) (CDw32) (Fc-gamma RII-a) (Fc-gamma-RIIa) (FcRII-a) (CD antigen CD32),FCGR2A CD32 FCG2 FCGR2A1 IGFR2 CD32,extracellular,neutrophil,mast cell,macrophage,m1 microglia,m2b microglia,,,,,,,,,,,,
FLT1,P17948,Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor),FLT1 FLT FRT VEGFR1 VEGFR1,extracellular,PMN MDSC,,,,,,,,,,,,,,,,
FLT3,P36888,Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135),FLT3 CD135 FLK2 STK1 CD135,extracellular,CMP,GMP,classical DC,HSC,CMP,,,,,,,,,,,,
FOXP3,Q9BZS1,"Forkhead box protein P3 (Scurfin) [Cleaved into: Forkhead box protein P3, C-terminally processed; Forkhead box protein P3 41 kDa form]",FOXP3 IPEX JM2 FOXP3,intracellular,Treg,,,,,,,,,,,,,,,,
FUT3,P21217,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3 (EC 2.4.1.65) (Alpha-3-fucosyltransferase FUT3) (EC 2.4.1.-) (Blood group Lewis alpha-4-fucosyltransferase) (Lewis FT) (Fucosyltransferase 3) (Fucosyltransferase III) (FucT-III),FUT3 FT3B LE CD174,extracellular,CMP,,,,,,,,,,,,,,,,
FUT4,P22083,"Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (ELAM-1 ligand fucosyltransferase) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)",FUT4 ELFT FCT3A CD15,extracellular,eosinophil,neutrophil,macrophage,PMN MDSC,mast cell,,,,,,,,,,,,
GNLY,P22749,Granulysin (Lymphokine LAG-2) (Protein NKG5) (T-cell activation protein 519),GNLY LAG2 NKG5 TLA519 GRANULYSIN,secreted,NK,,,,,,,,,,,,,,,,
GP1BB,P13224,Platelet glycoprotein Ib beta chain (GP-Ib beta) (GPIb-beta) (GPIbB) (Antigen CD42b-beta) (CD antigen CD42c),GP1BB CD42C,extracellular,platelet,megakaryocyte,,,,,,,,,,,,,,,
GP5,P40197,Platelet glycoprotein V (GPV) (Glycoprotein 5) (CD antigen CD42d),GP5 CD42D,extracellular,platelet,megakaryocyte,,,,,,,,,,,,,,,
GP9,P14770,Platelet glycoprotein IX (GP-IX) (GPIX) (Glycoprotein 9) (CD antigen CD42a),GP9 CD42A,extracellular,megakaryocyte,platelet,,,,,,,,,,,,,,,
GYPA,P02724,Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a),GYPA GPA CD235A,extracellular,erythrocyte,,,,,,,,,,,,,,,,
GZMA,P12544,Granzyme A (EC 3.4.21.78) (CTL tryptase) (Cytotoxic T-lymphocyte proteinase 1) (Fragmentin-1) (Granzyme-1) (Hanukkah factor) (H factor) (HF),GZMA CTLA3 HFSP GRANZYME A,secreted,effector CD8 T,NK,,,,,,,,,,,,,,,
GZMB,P10144,Granzyme B (EC 3.4.21.79) (C11) (CTLA-1) (Cathepsin G-like 1) (CTSGL1) (Cytotoxic T-lymphocyte proteinase 2) (Lymphocyte protease) (Fragmentin-2) (Granzyme-2) (Human lymphocyte protein) (HLP) (SECT) (T-cell serine protease 1-3E),GZMB CGL1 CSPB CTLA1 GRB GRANZYME B,secreted,effector memory CD8 T,effector CD8 T,NK,yd T ,,,,,,,,,,,,,
GZMK,P49863,Granzyme K (EC 3.4.21.-) (Fragmentin-3) (Granzyme-3) (NK-tryptase-2) (NK-Tryp-2),GZMK TRYP2 GRANZYME K,secreted,effector CD8 T,NK,,,,,,,,,,,,,,,
GZMM,P51124,Granzyme M (EC 3.4.21.-) (Met-1 serine protease) (Hu-Met-1) (Met-ase) (Natural killer cell granular protease),GZMM MET1 GRANZYME M,secreted,NK,,,,,,,,,,,,,,,,
HAVCR1,Q96D42,Hepatitis A virus cellular receptor 1 (HAVcr-1) (Kidney injury molecule 1) (KIM-1) (T-cell immunoglobulin and mucin domain-containing protein 1) (TIMD-1) (T-cell immunoglobulin mucin receptor 1) (TIM) (TIM-1) (T-cell membrane protein 1) (CD antigen CD365),HAVCR1 KIM1 TIM1 TIMD1 CD365,extracellular,Th2,,,,,,,,,,,,,,,,
HAVCR2,Q8TDQ0,Hepatitis A virus cellular receptor 2 (HAVcr-2) (T-cell immunoglobulin and mucin domain-containing protein 3) (TIMD-3) (T-cell immunoglobulin mucin receptor 3) (TIM-3) (T-cell membrane protein 3) (CD antigen CD366),HAVCR2 TIM3 TIMD3 CD366,extracellular,Th1,effector CD8 T,,,,,,,,,,,,,,,
HLA-DRA,P01903,"HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)",HLA-DRA HLA-DRA1 HLADR,extracellular,nonclassical monocyte,classical monocyte,M2b,follicular B,memory B,macrophage,neutrophil,classical DC,inflammatory DC,dermal DC,mast cell,CLP,,,,,
ICAM1,P05362,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),ICAM1 CD54,extracellular,endothelial cells,,,,,,,,,,,,,,,,
ICOSLG,O75144,ICOS ligand (B7 homolog 2) (B7-H2) (B7-like protein Gl50) (B7-related protein 1) (B7RP-1) (CD antigen CD275),ICOSLG B7H2 B7RP1 ICOSL KIAA0653 CD275,extracellular,follicular B,,,,,,,,,,,,,,,,
IDO1,P14902,"Indoleamine 2,3-dioxygenase 1 (IDO-1) (EC 1.13.11.52) (Indoleamine-pyrrole 2,3-dioxygenase)",IDO1 IDO INDO IDO,secreted,M2,classical DC,,,,,,,,,,,,,,,
IFNB1,P01574,Interferon beta (IFN-beta) (Fibroblast interferon),IFNB1 IFB IFNB IFNB,secreted,pDC,,,,,,,,,,,,,,,,
IFNGR1,P15260,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),IFNGR1 CD119,extracellular,Th1,,,,,,,,,,,,,,,,
IFNGR1,P15260,Interferon gamma receptor 1 (IFN-gamma receptor 1) (IFN-gamma-R1) (CDw119) (Interferon gamma receptor alpha-chain) (IFN-gamma-R-alpha) (CD antigen CD119),IFNGR1 IFNGR,extracellular,M1,,,,,,,,,,,,,,,,
IKZF1,Q13422,DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1),IKZF1 IK1 IKAROS LYF1 ZNFN1A1 IKAROS,intracellular,follicular B,CMP,,,,,,,,,,,,,,,
IKZF2,Q9UKS7,Zinc finger protein Helios (Ikaros family zinc finger protein 2),IKZF2 HELIOS ZNFN1A2 HELIOS,extracellular,Treg,,,,,,,,,,,,,,,,
IKZF3,Q9UKT9,Zinc finger protein Aiolos (Ikaros family zinc finger protein 3),IKZF3 ZNFN1A3 AIOLOS,intracellular,CLP,,,,,,,,,,,,,,,,
IKZF4,Q9H2S9,Zinc finger protein Eos (Ikaros family zinc finger protein 4),IKZF4 KIAA1782 ZNFN1A4 EOS,intracellular,Treg,,,,,,,,,,,,,,,,
IL12A,P29459,Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1),IL12A NKSF1 IL12,secreted,M1,m1 microglia,classical DC,neutrophil,,,,,,,,,,,,,
IL12A,P29459,Interleukin-12 subunit alpha (IL-12A) (Cytotoxic lymphocyte maturation factor 35 kDa subunit) (CLMF p35) (IL-12 subunit p35) (NK cell stimulatory factor chain 1) (NKSF1),IL12A NKSF1 IL35,secreted,Treg,,,,,,,,,,,,,,,,
IL12RB1,P42701,Interleukin-12 receptor subunit beta-1 (IL-12 receptor subunit beta-1) (IL-12R subunit beta-1) (IL-12R-beta-1) (IL-12RB1) (IL-12 receptor beta component) (CD antigen CD212),IL12RB1 IL12R IL12RB IL12?1,extracellular,Th17,Th1,,,,,,,,,,,,,,,
IL17A,Q16552,Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8),IL17A CTLA8 IL17 IL17AF,secreted,Th17,ILC3,,,,,,,,,,,,,,,
IL17A,Q16552,Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8),IL17A CTLA8 IL17 IL17,secreted,M1,m1 microglia,LTI,,,,,,,,,,,,,,
IL18R1,Q13478,Interleukin-18 receptor 1 (IL-18R-1) (IL-18R1) (EC 3.2.2.6) (CD218 antigen-like family member A) (CDw218a) (IL1 receptor-related protein) (IL-1Rrp) (IL1R-rp) (Interleukin-18 receptor alpha) (IL-18R-alpha) (IL-18Ralpha) (CD antigen CD218a),IL18R1 IL1RRP IL18R,extracellular,basophil,Th1,,,,,,,,,,,,,,,
IL1R1,P14778,"Interleukin-1 receptor type 1 (IL-1R-1) (IL-1RT-1) (IL-1RT1) (EC 3.2.2.6) (CD121 antigen-like family member A) (Interleukin-1 receptor alpha) (IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form (mIL-1R1) (mIL-1RI); Interleukin-1 receptor type 1, soluble form (sIL-1R1) (sIL-1RI)]",IL1R1 IL1R IL1RA IL1RT1 IL1RA,secreted,M2a,m2b microglia,Th17,ILC1,NCR+ ILC3,ILC2,NCR-ILC3,LTI,,,,,,,,,
IL1R1,P14778,"Interleukin-1 receptor type 1 (IL-1R-1) (IL-1RT-1) (IL-1RT1) (EC 3.2.2.6) (CD121 antigen-like family member A) (Interleukin-1 receptor alpha) (IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form (mIL-1R1) (mIL-1RI); Interleukin-1 receptor type 1, soluble form (sIL-1R1) (sIL-1RI)]",IL1R1 IL1R IL1RA IL1RT1 CD121A,extracellular,Th17,Treg,epithelial,fibroblast,,,,,,,,,,,,,
IL1R2,P27930,"Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (CDw121b) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]",IL1R2 IL1RB CD121B,extracellular,Treg,,,,,,,,,,,,,,,,
IL1R2,P27930,"Interleukin-1 receptor type 2 (IL-1R-2) (IL-1RT-2) (IL-1RT2) (CD121 antigen-like family member B) (CDw121b) (IL-1 type II receptor) (Interleukin-1 receptor beta) (IL-1R-beta) (Interleukin-1 receptor type II) (CD antigen CD121b) [Cleaved into: Interleukin-1 receptor type 2, membrane form (mIL-1R2) (mIL-1RII); Interleukin-1 receptor type 2, soluble form (sIL-1R2) (sIL-1RII)]",IL1R2 IL1RB IL1RII,extracellular,M2a,,,,,,,,,,,,,,,,
IL1RL1,Q01638,Interleukin-1 receptor-like 1 (EC 3.2.2.6) (Protein ST2),IL1RL1 DER4 ST2 T1 IL33R,extracellular,Th2,ILC2,mast cell,,,,,,,,,,,,,,
IL21R,Q9HBE5,Interleukin-21 receptor (IL-21 receptor) (IL-21R) (Novel interleukin receptor) (CD antigen CD360),IL21R NILR UNQ3121/PRO10273 CD360,extracellular,follicular B,Th17,,,,,,,,,,,,,,,
IL23A,Q9NPF7,Interleukin-23 subunit alpha (IL-23 subunit alpha) (IL-23-A) (Interleukin-23 subunit p19) (IL-23p19),IL23A SGRF UNQ2498/PRO5798 IL23,secreted,inflammatory DC,M1,m1 microglia,classical DC,,,,,,,,,,,,,
IL2RA,P01589,Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25),IL2RA CD25,extracellular,LTI,ILCreg,Treg,basophil,ILC2,effector CD8 T,,,,,,,,,,,
IL2RB,P14784,Interleukin-2 receptor subunit beta (IL-2 receptor subunit beta) (IL-2R subunit beta) (IL-2RB) (High affinity IL-2 receptor subunit beta) (Interleukin-15 receptor subunit beta) (p70-75) (p75) (CD antigen CD122),IL2RB IL15RB CD122,extracellular,ILC1,NK,ILCreg,effector CD8 T,,,,,,,,,,,,,
IL3RA,P26951,Interleukin-3 receptor subunit alpha (IL-3 receptor subunit alpha) (IL-3R subunit alpha) (IL-3R-alpha) (IL-3RA) (CD antigen CD123),IL3RA IL3R CD123,extracellular,GMP,basophil,classical DC,pDC,basophil,mast cell,eosinophil,megakaryocyte,pDC,basophil,,,,,,,
IL4R,P24394,Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)],IL4R IL4RA 582J2.1 IL4RA,extracellular,m2c microglia,monocytic MDSC,PMN MDSC,Th2,Th9,M2a,M2b,M2c,,,,,,,,,
IL5RA,Q01344,Interleukin-5 receptor subunit alpha (IL-5 receptor subunit alpha) (IL-5R subunit alpha) (IL-5R-alpha) (IL-5RA) (CDw125) (CD antigen CD125),IL5RA IL5R CD125,extracellular,eosinophil,mast cell,basophil,eosinophil,,,,,,,,,,,,,
IL6R,P08887,Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)],IL6R CD126,extracellular,mast cell,eosinophil,,,,,,,,,,,,,,,
IL6R,P08887,Interleukin-6 receptor subunit alpha (IL-6 receptor subunit alpha) (IL-6R subunit alpha) (IL-6R-alpha) (IL-6RA) (IL-6R 1) (Membrane glycoprotein 80) (gp80) (CD antigen CD126) [Cleaved into: Soluble interleukin-6 receptor subunit alpha (sIL6R)],IL6R IL6RA,extracellular,Th17,Th22,follicular Th,,,,,,,,,,,,,,
IL7R,P16871,Interleukin-7 receptor subunit alpha (IL-7 receptor subunit alpha) (IL-7R subunit alpha) (IL-7R-alpha) (IL-7RA) (CDw127) (CD antigen CD127),IL7R CD127,extracellular,ILC1,ILC2,NCR+ ILC3,NCR-ILC3,LTI,ILCreg,naïve CD8 T,ILC2,LTI,ILC3,CLP,central memory CD8 T,effector memory CD8 T,,,,
ITGA1,P56199,Integrin alpha-1 (CD49 antigen-like family member A) (Laminin and collagen receptor) (VLA-1) (CD antigen CD49a),ITGA1 CD49A,extracellular,ILC1,,,,,,,,,,,,,,,,
ITGA2,P17301,Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b),ITGA2 CD49B CD49B,extracellular,basophil,,,,,,,,,,,,,,,,
ITGA2B,P08514,"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]",ITGA2B GP2B ITGAB CD41B,extracellular,megakaryocyte,,,,,,,,,,,,,,,,
ITGA2B,P08514,"Integrin alpha-IIb (GPalpha IIb) (GPIIb) (Platelet membrane glycoprotein IIb) (CD antigen CD41) [Cleaved into: Integrin alpha-IIb heavy chain; Integrin alpha-IIb light chain, form 1; Integrin alpha-IIb light chain, form 2]",ITGA2B GP2B ITGAB CD41,extracellular,platelet,megakaryocyte,,,,,,,,,,,,,,,
ITGA4,P13612,Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d),ITGA4 CD49D CD49,extracellular,HSC,,,,,,,,,,,,,,,,
ITGA4,P13612,Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d),ITGA4 CD49D CD49D,extracellular,eosinophil,classical DC,,,,,,,,,,,,,,,
